Time PSP_GPe_freq20_plas11_rate_mean PSP_GPe_freq20_plas11_rate_std PSP_GPe_freq20_plas10_rate_mean PSP_GPe_freq20_plas10_rate_std PSP_str_freq20_plas11_rate_mean PSP_str_freq20_plas11_rate_std PSP_str_freq20_plas10_rate_mean PSP_str_freq20_plas10_rate_std 
1.00000 21.33333 15.43445 21.33333 4.98888 20.00000 10.32796 17.33333 9.97775
1.05000 16.00000 14.96663 9.33333 9.97775 20.00000 10.32796 16.00000 8.00000
1.10000 21.33333 8.84433 18.66667 4.98888 14.66667 8.84433 25.33333 11.46977
1.15000 25.33333 8.84433 16.00000 13.06395 14.66667 8.84433 16.00000 10.83205
1.20000 10.66667 9.97775 17.33333 9.97775 22.66667 9.97775 14.66667 11.46977
1.25000 24.00000 10.83205 18.66667 4.98888 17.33333 6.79869 22.66667 6.79869
1.30000 20.00000 10.32796 17.33333 6.79869 22.66667 9.97775 13.33333 9.42809
1.35000 22.66667 6.79869 24.00000 8.00000 20.00000 10.32796 24.00000 8.00000
1.40000 16.00000 8.00000 16.00000 10.83205 22.66667 12.36482 17.33333 12.36482
1.45000 24.00000 10.83205 21.33333 4.98888 20.00000 12.64911 26.66667 9.42809
1.50000 21.33333 11.46977 21.33333 4.98888 21.33333 8.84433 20.00000 12.64911
1.55000 20.00000 7.30297 18.66667 8.84433 18.66667 11.46977 22.66667 14.36044
1.60000 24.00000 10.83205 24.00000 10.83205 24.00000 10.83205 21.33333 8.84433
1.65000 18.66667 13.59739 14.66667 8.84433 22.66667 9.97775 24.00000 8.00000
1.70000 17.33333 9.97775 20.00000 10.32796 17.33333 9.97775 20.00000 7.30297
1.75000 30.66667 9.97775 24.00000 8.00000 24.00000 10.83205 21.33333 8.84433
1.80000 17.33333 9.97775 24.00000 8.00000 22.66667 12.36482 20.00000 7.30297
1.85000 10.66667 9.97775 12.00000 12.22020 16.00000 8.00000 16.00000 10.83205
1.90000 21.33333 8.84433 16.00000 10.83205 17.33333 9.97775 17.33333 6.79869
1.95000 20.00000 10.32796 21.33333 4.98888 21.33333 4.98888 22.66667 9.97775
2.00000 13.33333 9.42809 13.33333 9.42809 16.00000 8.00000 18.66667 11.46977
2.05000 24.00000 8.00000 16.00000 8.00000 17.33333 6.79869 22.66667 6.79869
2.10000 10.66667 9.97775 13.33333 9.42809 9.33333 9.97775 12.00000 9.79796
2.15000 16.00000 8.00000 9.33333 9.97775 10.66667 9.97775 17.33333 9.97775
2.20000 16.00000 10.83205 14.66667 11.46977 9.33333 12.36482 18.66667 4.98888
2.25000 17.33333 6.79869 14.66667 8.84433 13.33333 9.42809 14.66667 11.46977
2.30000 17.33333 9.97775 18.66667 4.98888 8.00000 9.79796 21.33333 4.98888
2.35000 10.66667 9.97775 9.33333 9.97775 2.66667 6.79869 17.33333 6.79869
2.40000 16.00000 8.00000 13.33333 13.98412 13.33333 9.42809 17.33333 6.79869
2.45000 12.00000 12.22020 8.00000 9.79796 5.33333 8.84433 13.33333 9.42809
2.50000 14.66667 8.84433 18.66667 8.84433 8.00000 9.79796 21.33333 11.46977
2.55000 21.33333 4.98888 20.00000 0.00000 13.33333 11.92570 13.33333 9.42809
2.60000 13.33333 9.42809 9.33333 9.97775 2.66667 6.79869 21.33333 13.59739
2.65000 26.66667 9.42809 20.00000 10.32796 14.66667 13.59739 18.66667 8.84433
2.70000 21.33333 8.84433 16.00000 8.00000 13.33333 9.42809 20.00000 10.32796
2.75000 18.66667 4.98888 12.00000 9.79796 8.00000 9.79796 21.33333 8.84433
2.80000 16.00000 8.00000 14.66667 11.46977 2.66667 9.97775 14.66667 11.46977
2.85000 21.33333 8.84433 14.66667 13.59739 9.33333 9.97775 13.33333 11.92570
2.90000 14.66667 11.46977 14.66667 8.84433 9.33333 9.97775 20.00000 10.32796
2.95000 18.66667 8.84433 13.33333 11.92570 6.66667 11.92570 13.33333 11.92570
3.00000 20.00000 7.30297 16.00000 8.00000 24.00000 10.83205 21.33333 8.84433
3.05000 20.00000 7.30297 18.66667 11.46977 18.66667 15.43445 21.33333 11.46977
3.10000 21.33333 13.59739 26.66667 9.42809 13.33333 15.77621 17.33333 12.36482
3.15000 22.66667 9.97775 18.66667 4.98888 22.66667 9.97775 20.00000 10.32796
3.20000 18.66667 11.46977 20.00000 7.30297 20.00000 10.32796 13.33333 11.92570
3.25000 18.66667 4.98888 17.33333 6.79869 21.33333 11.46977 18.66667 4.98888
3.30000 21.33333 8.84433 25.33333 8.84433 24.00000 8.00000 22.66667 9.97775
3.35000 21.33333 8.84433 17.33333 9.97775 16.00000 10.83205 17.33333 6.79869
3.40000 16.00000 10.83205 14.66667 11.46977 16.00000 10.83205 18.66667 15.43445
3.45000 12.00000 9.79796 17.33333 9.97775 9.33333 9.97775 12.00000 9.79796
3.50000 17.33333 12.36482 20.00000 10.32796 22.66667 6.79869 22.66667 6.79869
3.55000 22.66667 6.79869 17.33333 6.79869 21.33333 8.84433 20.00000 14.60593
3.60000 28.00000 14.23610 21.33333 8.84433 24.00000 8.00000 24.00000 13.06395
3.65000 22.66667 6.79869 21.33333 4.98888 20.00000 7.30297 21.33333 11.46977
3.70000 21.33333 8.84433 18.66667 11.46977 16.00000 8.00000 18.66667 8.84433
3.75000 16.00000 8.00000 16.00000 13.06395 17.33333 6.79869 12.00000 9.79796
3.80000 14.66667 11.46977 14.66667 8.84433 12.00000 9.79796 9.33333 12.36482
3.85000 21.33333 8.84433 16.00000 13.06395 20.00000 10.32796 21.33333 11.46977
3.90000 21.33333 4.98888 24.00000 13.06395 26.66667 9.42809 24.00000 13.06395
3.95000 14.66667 11.46977 14.66667 11.46977 14.66667 8.84433 20.00000 10.32796
